Variable,n,Chi-square,df,p-value,Cramers V,Effect size,Significant (a=0.05),week5_claim,week6_verdict
Booking lead time,5000,318.12,3,<0.001,0.252,Moderate,Yes,Insight 2 - longer lead time raises no-shows,CONFIRMED - actionable
Previous no-show history,5000,77.82,2,<0.001,0.125,Weak,Yes,Insight 4 - prior no-shows raise current no-shows,CONFIRMED - actionable
Distance to clinic,4910,22.41,4,<0.001,0.068,Negligible,Yes,Insight 3 - greater distance raises no-shows,CONFIRMED but negligible effect
Age group,5000,9.51,5,0.0905,0.044,Negligible,No,Explored in Week 5 EDA,NOT SUPPORTED - withdrawn
Appointment type,5000,7.89,3,0.0484,0.04,Negligible,Yes,Insight 5 - follow-ups have the highest no-show rate,CONFIRMED but negligible effect
Reminder channel,3634,4.88,2,0.0870,0.037,Negligible,No,Insight 6b - SMS is the best channel,NOT SUPPORTED - withdrawn
Reminder sent,5000,6.3,1,0.0120,0.036,Negligible,Yes,Insight 6a - reminders reduce no-shows,CONFIRMED but negligible effect
Appointment day,5000,4.48,6,0.6120,0.03,Negligible,No,Explored in Week 5 EDA,NOT SUPPORTED - withdrawn
Waiting time,4940,2.22,4,0.6962,0.021,Negligible,No,Explored in Week 5 EDA,NOT SUPPORTED - withdrawn
Gender,5000,1.12,2,0.5721,0.015,Negligible,No,Explored in Week 5 EDA,NOT SUPPORTED - withdrawn
Appointment time,5000,0.57,2,0.7512,0.011,Negligible,No,Explored in Week 5 EDA,NOT SUPPORTED - withdrawn
